Reference Source,Extracted Business Rule,Gherkin Scenario,
,1. Shopping Cart Module,,
Magento Standard Checkout Logic (quote_item model),"A guest cart must be merged with the authenticated customer's existing cart upon login — not replaced. Line items from both carts must be consolidated; if the same SKU exists in both, quantities must be summed.",Given a guest session contains 2 units of SKU-001 and 1 unit of SKU-002And the registered customer's saved cart contains 3 units of SKU-001When the guest authenticatesThen the merged cart must contain exactly 5 units of SKU-001 and 1 unit of SKU-002And no duplicate line items for SKU-001 must existAnd the original guest cart session must be invalidated,
Magento MinimumOrderAmount Module / Odoo sale.order min_order config,"Cart checkout must be blocked if the order subtotal (after discounts, before shipping and tax) falls below the configured minimum order amount. The error must be surfaced before payment processing is initiated.",Given the store minimum order amount is configured to $50.00And a cart contains items totaling $45.00 after a valid coupon discountWhen the customer proceeds to the checkout payment stepThen the system must prevent navigation to the payment pageAnd must return a specific minimum-order error with the deficit amount ($5.00),
Magento Quote Model — Item Quantity Max Cap per Product Config,"If a product has a configured max_sale_qty, attempting to add a quantity exceeding this value must be silently capped to the maximum (not blocked) — but an informational notice must be added to the cart session.","Given SKU-E has max_sale_qty = 5 configuredAnd a cart is emptyWhen the customer adds 8 units of SKU-E to the cartThen the cart must contain exactly 5 units of SKU-EAnd no 400/422 error must be thrownAnd a session notice message ""Maximum quantity of 5 applied"" must be present",
Magento Quote — Price Validity & Re-validation on Stale Quotes,"A cart quote older than a configurable threshold must trigger a price re-validation. If a product price has changed, the cart must reflect the current price and notify the customer — without silently retaining the stale price.","Given Customer added SKU-H to a cart at $49.99 at T+0And a price update changed SKU-H to $59.99 at T+12 hoursAnd the quote validity window is 24 hoursWhen the customer returns to their cart at T+25 hoursThen the displayed price for SKU-H must be $59.99And a notice must be added: ""Price of [SKU-H] has been updated""",
Magento Configurable Product — Child SKU Stock Independence,A configurable product's availability must reflect the specific selected child SKU's stock status. Selecting a size/color combination with 0 stock must block the add-to-cart action even if sibling variants have available stock.,"Given Configurable Product ""Shirt"" has child SKU ""Shirt-Red-L"" with qty=0And child SKU ""Shirt-Blue-L"" with qty=10When a customer selects the ""Red / Large"" configuration and clicks Add to CartThen the add-to-cart request must be rejected with OUT_OF_STOCK for SKU ""Shirt-Red-L""",
,,,
,2. Inventory & Warehouse Module,,
Odoo Inventory Reservation Docs (stock.move),"Stock must be soft-reserved at cart confirmation, not at order placement. Expired reservations must release stock back to available quantity atomically.",Given SKU-A has 5 units availableAnd Customer-1 adds 5 units to cart at T+0When T+10 minutes elapses without checkout completionThen the soft reservation on 5 units of SKU-A must be releasedAnd stock.quant.reserved_quantity for SKU-A must return to 0,
Odoo Multi-Warehouse / stock.warehouse.orderpoint,"When an order triggers a reorder rule spanning multiple warehouses, fulfillment must source from the warehouse with the shortest configured delivery lead time first.",Given Warehouse-A has 100 units (5-day lead) and Warehouse-B has 10 units (1-day lead)And the order requests 8 units of SKU-BWhen the procurement route is computedThen fulfillment must be assigned to Warehouse-BAnd the delivery promise date must reflect Warehouse-B's 1-day lead time,???????
Odoo stock.picking — Partial Delivery & Backorder Creation,"When a confirmed sale order can only be partially fulfilled, the system must automatically create a backorder for the unfulfilled quantity.",Given Order-#2002 requests 10 units of SKU-CAnd only 6 units of SKU-C are availableWhen the warehouse operator validates the deliveryThen a backorder picking must be created for 4 units of SKU-CAnd the original picking state must be done only after the backorder is confirmed,No need .If it is not in the stock then it should mention it 
